anaoxygenic photosynthesis	A type of photosynthesis in green and purple bacteria in which oxygen is not produced
meiosis	A two-stage type of cell division in sexually reproducing organisms that results in cells with half the chromosome number of the original cell.
atypic -ical	off type; not of the usual form.
autochthonous flora	see oligotrophs.
chromatography	Biochemical technique in which a mixture of substances is separated by charge, size, or some other property by allowing it to partition between a moving phase and a stationary phase
biramous	Arthropod appendages that are biramous have two branches, an outer branch and an inner branch
calorie	The amount of heat necessary to raise the temperature of 1 gram of water by 1 degree centigrade at a pressure of 1 atmosphere.
biotrophic	Nutritional relationship between two organisms in which one or both must associate with the other to obtain nutrients and grow.
assimilation	The ability to use a carbon or nitrogen source for growth in the presence of oxygen.
protein arrays	Arrays consisting of proteins themselves or of probes used for capturing proteins.
parasitism	Symbiotic relationship in which the parasite benefits at the expense of the host
aestival	occurring in summer.
replicative transposition	The insertion of a transposable element at a new location without loss from the original location.
fluid-feeder	An animal that lives by sucking nutrient-rich fluids from another living organism.
plus end	The end of a microtubule or actin filament at which addition of monomers occurs most readily; the “fast-growing” end of a microtubule or actin filament
diatomite	Diatomite, or diatomaceous earth, is a siliceous sedimaentary rock formed from the accumulations of diatoms or other nanoplankton.
trypsin	A proteolytic enzyme that cleaves (cuts) peptide chains next to the basic amino acids arginine and Iysine.
uhdrs	The Unified Huntington's Disease Rating Scale, used to provide uniform assessment of the clinical features and progression of HD.
affinity chromatography	A column chromatographic technique that employs attached functional groups that have a specific affinity for sites on particular proteins.
control rods	rods composed primarily of an excellent neutron absorber such as cadmium or boron that can be positioned in a nuclear reactor to absorb fewer or more neutrons, thereby regulating the rate of fission
substrate	a molecule that binds to the active site of an enzyme target and is chemically modified by the enzyme target to produce a new chemical molecule (product).
path integration	The ability to remember the distances and directions traveled, to sum them, and then to calculate their return path.
nsf	Protein with ATPase activity that disassembles a complex of a v-SNARE and a t-SNARE.
superne	denotes all those parts belonging to the upper surface.
bracket fungi	corky or woody, often perennial, basidiomata of the polypores (Aphyllophorales: Basidiomycetes)
ionophore	A compound which can cause the leakage of ions across membranes.
sperm motility	The proportion of sperm swimming, or other measures of sperm movement.
messenger rna	The template RNA carrying the message for protein synthesis.
transglutaminase	An enzyme that helps produce huntingtin protein aggregates.
deletion	(1) A deficiency in a chromosome resulting from the loss of a fragment through breakage
pleiomorphic	Having the ability to change shape.
polymer	a large molecule constructed from many smaller identical units
brassy	yellow, with the lustre of metallic brass.
cofactor	non-protein component(s) needed by an enzyme to be functional; some cofactors are metal ions, others are coenzymes (q.v.).
pillared eye	in Ephemerids, that type which is placed on a cylindrical stalk or process: = turbinate eye.
residual volume	The amount of air that remains in the lungs after forcefully exhaling.
anti-metabolite	An analogue of the end-product of a metabolic pathway that causes feedback inhibition or repression, but cannot replace the genuine product; used for selecting feedback-deficient mutants.
glume	A leaf- or bract-like structure; specifically one of the two bracts at the base of the spikelet in grass flowers.
trochophore larvae	a larval stage shared by annelids and mollusks
enteric bacteria	A large group of gram-negative rod-shaped Bacteria characterized by a facultatively aerobic metabolism
kinase	An enzyme that transfers the terminal (γ) phosphate group from ATP to a substrate
water vapor	Water in the gaseous state.
primary producer	An organism that uses light to synthesize new organic material from carbon dioxide.
