frequency modulation synthesis	See Wave Table Synthesis.
capture card	A video upgrade card that can capture incoming analog video signal and convert it to digital video.
animated gif	A GIF graphic file, which consists of two or more images shown in a timed sequence to give the effect of motion.
iso	International Standards Organization
encapsulation	a technique that separates the external aspects of an object from its internal, implementation details.
blowfish	An encryption algorithm.
firewire	A type of computer connection that you can use to attach various devices to your PC; most often used to connection DV camcorders.
export	To make symbols from a module available for import by other modules.
memory card	The most recent form of permanent computer storage technology
te	Terminal Equipment
format	A specification of how many spaces and digits and things to put somewhere so that whatever you're printing comes out nice and pretty.
technet	A little-known but highly valuable Microsoft product giving technical details of their products
standard	Specifications about how a group of network devices communicate.
date biasing	Enables the search appliance to weigh document dates more heavily when it evaluates the order in which search results appear, and to prefer documents with newer dates to documents with older dates.
information retrieval	The science and practice of identification and efficient use of recorded data.
nda	Non-disclosure agreement, for example an agreement that a beta-tester will not reveal any information about the item that they are testing.
scsi	"skussy"
anti-body markup language	Anti-Body Markup Language
administration	Management of a business, institution, etc; the management of public affairs; government
iirc	Often used in online discussions as a shorthand for "If I remember correctly...".
