cable	A molding design resembling intertwined rape.
desktop publishing	The creation of fully composed pages with all text and graphics in place on a system that includes a personal computer with a color monitor; word processing, page layout, illustration and other off-the-shelf software; digitized type fonts; a laser printer; and other peripherals, such as an optical image scanner
hue	The color of light that is reflected from an opaque object or transmitted through a transparent one.
rectilinear	consisting of, bounded by, or moving in, a straight line or lines.
cosmology	The worldview of a group or society, encompassing their understanding of the universe, their origins and existence, and nature.
glaciation	The expansion of continental glacial ice during a period of cold climate.
sexology	the study of sex
nomads	Pastoralists; groups that move across a territory seasonally in search of food, water, and grazing grounds for livestock
convection	The bulk transport of plasma (or gas) from one place to another, in response to mechanical forces (for example, viscous interaction with the solar wind) or electromagnetic forces.
recto	The odd numbered pages (right hand side) of books.
slip sheets	Separate sheets (stock) independent from the original run positioned between the "printed run" for a variety of reasons.
opaque	(1) Not transparent
reprographics	General term for xerography, diazo, and other methods of copying used by designers, engineers, architects, or for general office use.
underscan	Reducing height and width of the active picture on a video monitor so that the edges, and thus portions of the blanking, can be observed.
pasteup	The process of pasting up
plasticizer	An ink additive that adds flexibility, softness and adhesion.
chronological analysis	Archaeologists use the term 'chronological analysis' to refer to the analysis of an object, set of objects, archaeological site or set of sites in terms of its temporal characteristics
makeready	All activities required to set up a press before production begins
iron age	The third major stage of the “Three Age System” after the
flat color	(1) Any color created by printing only one ink, as compared to a color created by printing four-color process
lectern	The speaker stand in the front of a church used for things like lay Bible readings and announcements
pendentive	A concave triangle supporting a corner of a circular dome built over a square space.
